date,result,gc_result_on_stage,race,distance,pointspcs,pointsuci,stage,rider,team
2018-08-17,20,20,Ladies Tour of Norway (2.WWT),127.7,NA,NA,Stage 1 - Rakkestad › Mysen,Annemiek van Vleuten,Mitchelton-Scott
NA,2,NA,Giro d'Italia Internazionale Femminile (2.WWT),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,1,NA,Giro d'Italia Internazionale Femminile (2.WWT),NA,NA,NA,Points classification,Annemiek van Vleuten,Mitchelton-Scott
NA,1,NA,Giro d'Italia Internazionale Femminile (2.WWT),NA,150,200,General classification,Annemiek van Vleuten,Mitchelton-Scott
2018-07-15,1,NA,Giro d'Italia Internazionale Femminile (2.WWT),120.3,30,25,Stage 10 - Cividale del Friuli › Cividale del Friuli,Annemiek van Vleuten,Mitchelton-Scott
2018-07-14,1,1,Giro d'Italia Internazionale Femminile (2.WWT),104.7,30,25,Stage 9 - Tricesimo › Monte Zoncolan,Annemiek van Vleuten,Mitchelton-Scott
2018-07-13,20,1,Giro d'Italia Internazionale Femminile (2.WWT),121.6,NA,NA,Stage 8 - San Giorgio di Perlena (Fara Vicentino)  › Breganze,Annemiek van Vleuten,Mitchelton-Scott
2018-07-12,1,1,Giro d'Italia Internazionale Femminile (2.WWT),15,30,25,Stage 7 (ITT) - Lanzada › Diga di Campo Moro,Annemiek van Vleuten,Mitchelton-Scott
2018-07-11,2,3,Giro d'Italia Internazionale Femminile (2.WWT),114.1,18,20,Stage 6 - Sovico › Gerola Alta,Annemiek van Vleuten,Mitchelton-Scott
2018-07-10,13,5,Giro d'Italia Internazionale Femminile (2.WWT),117.7,NA,NA,Stage 5 - Omegna › Omegna,Annemiek van Vleuten,Mitchelton-Scott
2018-07-09,20,5,Giro d'Italia Internazionale Femminile (2.WWT),109,NA,NA,Stage 4 - Piacenza › Piacenza,Annemiek van Vleuten,Mitchelton-Scott
2018-07-08,15,6,Giro d'Italia Internazionale Femminile (2.WWT),132,NA,NA,Stage 3 - Corbetta › Corbetta,Annemiek van Vleuten,Mitchelton-Scott
2018-07-07,27,10,Giro d'Italia Internazionale Femminile (2.WWT),120.4,NA,NA,Stage 2 - Ovada › Ovada,Annemiek van Vleuten,Mitchelton-Scott
2018-07-06,2,10,Giro d'Italia Internazionale Femminile (2.WWT),15.5,18,2.9,Stage 1 (TTT) - Verbania › Verbania,Annemiek van Vleuten,Mitchelton-Scott
NA,7,NA,WWT Emakumeen XXXI. Bira (2.WWT),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,2,NA,WWT Emakumeen XXXI. Bira (2.WWT),NA,NA,NA,Points classification,Annemiek van Vleuten,Mitchelton-Scott
NA,2,NA,WWT Emakumeen XXXI. Bira (2.WWT),NA,110,150,General classification,Annemiek van Vleuten,Mitchelton-Scott
2018-05-22,9,NA,WWT Emakumeen XXXI. Bira (2.WWT),120,NA,6,Stage 4 - Iurreta › Iurreta,Annemiek van Vleuten,Mitchelton-Scott
2018-05-21,14,1,WWT Emakumeen XXXI. Bira (2.WWT),114.5,NA,NA,Stage 3 - Aretxabaleta › Aretxabaleta,Annemiek van Vleuten,Mitchelton-Scott
2018-05-20,1,1,WWT Emakumeen XXXI. Bira (2.WWT),26.6,30,25,Stage 2 (ITT) - Agurain › Vitoria-Gasteiz,Annemiek van Vleuten,Mitchelton-Scott
2018-05-19,6,6,WWT Emakumeen XXXI. Bira (2.WWT),108,3,12,Stage 1 - Legazpi › Legazpi,Annemiek van Vleuten,Mitchelton-Scott
